"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Barfield";"Lauren";"";"Lauren Barfield";"Barfield, Lauren";"195";"weiblich";"15.03.1990";"11";"Vereinigte Staaten von Amerika";"US";"Mittelblock";"Nein";
"Brandt";"Anja";"";"Anja Brandt";"Brandt, Anja";"193";"weiblich";"15.02.1990";"12";"Deutschland";"DE";"Mittelblock";"Nein";
"Dannemiller";"Alexa Marie";"";"Alexa Marie Dannemiller";"Dannemiller, Alexa Marie";"178";"weiblich";"09.06.1993";"15";"Vereinigte Staaten von Amerika";"US";"Zuspiel";"Nein";
"Dürr";"Lenka";"";"Lenka Dürr";"Dürr, Lenka";"170";"weiblich";"10.12.1990";"2";"Deutschland";"DE";"Libero";"Nein";
"Fromm";"Maren";"";"Maren Fromm";"Fromm, Maren";"186";"weiblich";"10.07.1986";"4";"Deutschland";"DE";"Außenangriff";"Nein";
"Gebhardt";"Ariel";"";"Ariel Gebhardt";"Gebhardt, Ariel";"186";"weiblich";"01.08.1991";"8";"Vereinigte Staaten von Amerika";"US";"Außenangriff";"Nein";
"Geerties";"Jennifer";"";"Jennifer Geerties";"Geerties, Jennifer";"185";"weiblich";"05.04.1994";"6";"Deutschland";"DE";"Außenangriff";"Nein";
"Hanke";"Denise";"";"Denise Hanke";"Hanke, Denise";"180";"weiblich";"31.08.1989";"10";"Deutschland";"DE";"Zuspiel";"Nein";
"Krause";"Sabrina";"";"Sabrina Krause";"Krause, Sabrina";"197";"weiblich";"18.12.1998";"5";"Deutschland";"DE";"Mittelblock";"Nein";
"Kurtze";"Laura";"";"Laura Kurtze";"Kurtze, Laura";"176";"weiblich";"23.07.1998";"";"Deutschland";"DE";"Außenangriff";"Nein";
"Lippmann";"Louisa";"";"Louisa Lippmann";"Lippmann, Louisa";"191";"weiblich";"23.09.1994";"3";"Deutschland";"DE";"Diagonal";"Nein";
"Lohmann";"Elisa";"";"Elisa Lohmann";"Lohmann, Elisa";"174";"weiblich";"22.07.1998";"14";"Deutschland";"DE";"Außenangriff";"Nein";
"Schölzel";"Marie";"";"Marie Schölzel";"Schölzel, Marie";"190";"weiblich";"01.08.1997";"16";"Deutschland";"DE";"Mittelblock";"Nein";
"Souza Ziegler";"Lousiane Penha";"";"Lousiane Penha Souza Ziegler";"Souza Ziegler, Lousiane Penha";"177";"weiblich";"30.07.1985";"1";"Brasilien";"BR";"Außenangriff";"Nein";
"Tapp";"Hannah";"";"Hannah Tapp";"Tapp, Hannah";"190";"weiblich";"21.06.1995";"9";"Vereinigte Staaten von Amerika";"US";"Mittelblock";"Nein";
"Koslowski";"Felix";"";"Felix Koslowski";"Koslowski, Felix";"191";"männlich";"18.03.1984";"";"Deutschland";"DE";"Trainer";"Nein";
"Hartmann";"Manuel";"";"Manuel Hartmann";"Hartmann, Manuel";"178";"männlich";"15.12.1986";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Sens";"Paul";"";"Paul Sens";"Sens, Paul";"";"männlich";"29.04.1997";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Braun";"Katja";"";"Katja Braun";"Braun, Katja";"0";"weiblich";"07.12.1984";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Ziegler";"Jens";"";"Jens Ziegler";"Ziegler, Jens";"0";"männlich";"02.04.1967";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Döring";"Michael";"";"Michael Döring";"Döring, Michael";"0";"männlich";"04.08.1981";"";"Deutschland";"DE";"Statistiker";"Ja";
"Garbe";"Olaf";"";"Olaf Garbe";"Garbe, Olaf";"0";"männlich";"15.03.1964";"";"Deutschland";"DE";"Statistiker";"Ja";
