"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Aigner-Swesey";"Delainey";"";"Delainey Aigner-Swesey";"Aigner-Swesey, Delainey";"183";"weiblich";"14.03.1992";"16";"Vereinigte Staaten von Amerika";"US";"Diagonal";"Nein";
"Bednarova";"Karolina";"";"Karolina Bednarova";"Bednarova, Karolina";"184";"weiblich";"20.07.1986";"13";"Tschechische Republik";"CZ";"Außenangriff";"Nein";
"Grozer";"Dora";"";"Dora Grozer";"Grozer, Dora";"182";"weiblich";"21.11.1995";"9";"Deutschland";"DE";"Außenangriff";"Nein";
"Großer";"Tanja";"";"Tanja Großer";"Großer, Tanja";"178";"weiblich";"27.11.1993";"4";"Deutschland";"DE";"Außenangriff";"Nein";
"Hynes";"Eliza Karley";"";"Eliza Karley Hynes";"Hynes, Eliza Karley";"184";"weiblich";"29.01.1992";"8";"Australien";"AU";"Außenangriff";"Nein";
"Kemmsies";"Irina";"";"Irina Kemmsies";"Kemmsies, Irina";"181";"weiblich";"14.05.1996";"10";"Deutschland";"DE";"Zuspiel";"Nein";
"Košova";"Simona";"";"Simona Košova";"Košova, Simona";"187";"weiblich";"27.03.1992";"11";"Slowakei";"SK";"Mittelblock";"Nein";
"Longo";"Alyssa";"";"Alyssa Longo";"Longo, Alyssa";"168";"weiblich";"04.10.1991";"5";"Vereinigte Staaten von Amerika";"US";"Libero";"Nein";
"Mach";"Annalena";"";"Annalena Mach";"Mach, Annalena";"183";"weiblich";"01.06.1995";"2";"Luxemburg";"LU";"Diagonal";"Nein";
"McCage";"Mallory Grace";"";"Mallory Grace McCage";"McCage, Mallory Grace";"192";"weiblich";"02.02.1994";"3";"Vereinigte Staaten von Amerika";"US";"Mittelblock";"Nein";
"Mertens";"Lia-Tabea";"";"Lia-Tabea Mertens";"Mertens, Lia-Tabea";"176";"weiblich";"31.05.1994";"14";"Deutschland";"DE";"Zuspiel";"Nein";
"Nagy";"Eszter";"";"Eszter Nagy";"Nagy, Eszter";"187";"weiblich";"01.11.1991";"12";"Ungarn";"HU";"Mittelblock";"Nein";
"Groß";"Dirk";"";"Dirk Groß";"Groß, Dirk";"0";"männlich";"04.12.1964";"";"Deutschland";"DE";"Trainer";"Nein";
"Schönberg";"Detlev";"";"Detlev Schönberg";"Schönberg, Detlev";"181";"männlich";"06.07.1961";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Sossenheimer";"Christian";"";"Christian Sossenheimer";"Sossenheimer, Christian";"0";"männlich";"30.09.1971";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Schönberg";"Detlev";"";"Detlev Schönberg";"Schönberg, Detlev";"181";"männlich";"06.07.1961";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Schmitt";"Michael";"";"Michael Schmitt";"Schmitt, Michael";"";"männlich";"04.05.1971";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Schönberg";"Detlev";"";"Detlev Schönberg";"Schönberg, Detlev";"181";"männlich";"06.07.1961";"";"Deutschland";"DE";"Statistiker";"Ja";
