"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Binder";"Matti";"";"Matti Binder";"Binder, Matti";"196";"männlich";"02.10.1998";"13";"Deutschland";"DE";"Mittelblock";"Nein";
"Bogachev";"Egor";"";"Egor Bogachev";"Bogachev, Egor";"203";"männlich";"06.04.1997";"17";"Deutschland";"DE";"Außenangriff";"Nein";
"Carroll";"Paul";"";"Paul Carroll";"Carroll, Paul";"206";"männlich";"16.05.1986";"12";"Australien";"AU";"Diagonal";"Nein";
"Klein";"Georg";"";"Georg Klein";"Klein, Georg";"200";"männlich";"22.08.1991";"7";"Deutschland";"DE";"Mittelblock";"Nein";
"Kromm";"Robert";"";"Robert Kromm";"Kromm, Robert";"212";"männlich";"09.03.1984";"3";"Deutschland";"DE";"Außenangriff";"Nein";
"Kühner";"Sebastian";"";"Sebastian Kühner";"Kühner, Sebastian";"203";"männlich";"15.03.1987";"10";"Deutschland";"DE";"Zuspiel";"Nein";
"Marshall";"Steven";"";"Steven Marshall";"Marshall, Steven";"191";"männlich";"23.11.1989";"2";"Kanada";"CA";"Außenangriff";"Nein";
"Okolic";"Aleksandar";"";"Aleksandar Okolic";"Okolic, Aleksandar";"205";"männlich";"26.06.1993";"1";"Serbien";"RS";"Mittelblock";"Nein";
"Perry";"Luke";"";"Luke Perry";"Perry, Luke";"182";"männlich";"20.11.1995";"4";"Australien";"AU";"Libero";"Nein";
"Pujol";"Pierre";"";"Pierre Pujol";"Pujol, Pierre";"185";"männlich";"13.07.1984";"18";"Frankreich";"FR";"Zuspiel";"Nein";
"Russell";"Kyle";"";"Kyle Russell";"Russell, Kyle";"205";"männlich";"25.08.1993";"15";"Vereinigte Staaten von Amerika";"US";"Diagonal";"Nein";
"van Haarlem";"Daan";"";"Daan van Haarlem";"van Haarlem, Daan";"198";"männlich";"15.03.1989";"9";"Niederlande";"NL";"Zuspiel";"Nein";
"Vigrass";"Graham";"";"Graham Vigrass";"Vigrass, Graham";"203";"männlich";"17.06.1989";"8";"Kanada";"CA";"Mittelblock";"Nein";
"Weber";"Linus";"";"Linus Weber";"Weber, Linus";"202";"männlich";"01.11.1999";"5";"Deutschland";"DE";"Universal";"Nein";
"White";"Adam";"";"Adam White";"White, Adam";"205";"männlich";"08.11.1989";"11";"Australien";"AU";"Außenangriff";"Nein";
"Moculescu";"Stelian";"";"Stelian Moculescu";"Moculescu, Stelian";"0";"männlich";"06.05.1950";"";"Deutschland";"DE";"Trainer";"Ja";
"Reynolds";"Luke";"";"Luke Reynolds";"Reynolds, Luke";"";"männlich";"09.07.1985";"";"Australien";"AU";"Trainer";"Nein";
"Puxeddu";"Manlio";"";"Manlio Puxeddu";"Puxeddu, Manlio";"";"männlich";"23.07.1974";"";"Italien";"IT";"Co-Trainer";"Nein";
"Miltner";"Oliver";"Dr.";"Dr. Oliver Miltner";"Dr. Miltner, Oliver";"0";"männlich";"27.01.1964";"";"Deutschland";"DE";"Arzt";"Ja";
"Knoop";"Martin";"";"Martin Knoop";"Knoop, Martin";"";"männlich";"18.09.1984";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Riekehr";"Sebastian";"";"Sebastian Riekehr";"Riekehr, Sebastian";"";"männlich";"23.04.1980";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Horst";"Tobias";"";"Tobias Horst";"Horst, Tobias";"";"männlich";"16.02.1998";"";"Deutschland";"DE";"Statistiker";"Ja";
"Nahod";"Dorde";"";"Dorde Nahod";"Nahod, Dorde";"";"männlich";"28.11.1985";"";"Serbien";"RS";"Statistiker";"Ja";
"Vogel";"Florian";"";"Florian Vogel";"Vogel, Florian";"0";"männlich";"29.04.1988";"";"Deutschland";"DE";"Statistiker";"Ja";
