"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Grˆﬂe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehˆrigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Bednarova";"Karolina";"";"Karolina Bednarova";"Bednarova, Karolina";"184";"weiblich";"20.07.1986";"13";"Tschechische Republik";"CZ";"Auﬂenangriff";"Nein";
"Drewniok";"Kimberly";"";"Kimberly Drewniok";"Drewniok, Kimberly";"188";"weiblich";"11.08.1997";"8";"Deutschland";"DE";"Diagonal";"Nein";
"Fuchs";"Sina";"";"Sina Fuchs";"Fuchs, Sina";"180";"weiblich";"28.09.1992";"12";"Deutschland";"DE";"Auﬂenangriff";"Nein";
"Grozer";"Dora";"";"Dora Grozer";"Grozer, Dora";"182";"weiblich";"21.11.1995";"9";"Deutschland";"DE";"Auﬂenangriff";"Nein";
"Groﬂer";"Tanja";"";"Tanja Groﬂer";"Groﬂer, Tanja";"178";"weiblich";"27.11.1993";"4";"Deutschland";"DE";"Auﬂenangriff";"Nein";
"Hetmann";"Selma Theresa";"";"Selma Theresa Hetmann";"Hetmann, Selma Theresa";"188";"weiblich";"27.10.1995";"6";"Deutschland";"DE";"Mittelblock";"Ja";
"Kemmsies";"Irina";"";"Irina Kemmsies";"Kemmsies, Irina";"181";"weiblich";"14.05.1996";"10";"Deutschland";"DE";"Zuspiel";"Nein";
"Koöova";"Simona";"";"Simona Koöova";"Koöova, Simona";"187";"weiblich";"27.03.1992";"11";"Slowakei";"SK";"Mittelblock";"Nein";
"Mach";"Annalena";"";"Annalena Mach";"Mach, Annalena";"183";"weiblich";"01.06.1995";"7";"Luxemburg";"LU";"Diagonal";"Nein";
"Mertens";"Lia-Tabea";"";"Lia-Tabea Mertens";"Mertens, Lia-Tabea";"176";"weiblich";"31.05.1994";"14";"Deutschland";"DE";"Zuspiel";"Nein";
"Osterloh";"Julia";"";"Julia Osterloh";"Osterloh, Julia";"190";"weiblich";"09.04.1986";"5";"Deutschland";"DE";"Mittelblock";"Nein";
"Sredic";"Tanja";"";"Tanja Sredic";"Sredic, Tanja";"187";"weiblich";"11.10.1991";"17";"Serbien";"RS";"Mittelblock";"Nein";
"Stock";"Lisa";"";"Lisa Stock";"Stock, Lisa";"168";"weiblich";"06.06.1994";"18";"Deutschland";"DE";"Libero";"Ja";
"Groﬂ";"Dirk";"";"Dirk Groﬂ";"Groﬂ, Dirk";"0";"m‰nnlich";"04.12.1964";"";"Deutschland";"DE";"Trainer";"Nein";
"Sossenheimer";"Christian";"";"Christian Sossenheimer";"Sossenheimer, Christian";"0";"m‰nnlich";"30.09.1971";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Schmitt";"Michael";"";"Michael Schmitt";"Schmitt, Michael";"";"m‰nnlich";"04.05.1971";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Minter";"Olaf";"";"Olaf Minter";"Minter, Olaf";"0";"m‰nnlich";"19.05.1983";"";"Deutschland";"DE";"Statistiker";"Ja";
