"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Aulenbrock";"Carina";"";"Carina Aulenbrock";"Aulenbrock, Carina";"191";"weiblich";"22.09.1994";"11";"Deutschland";"DE";"Außenangriff";"Nein";
"Brandt";"Anja";"";"Anja Brandt";"Brandt, Anja";"193";"weiblich";"15.02.1990";"12";"Deutschland";"DE";"Mittelblock";"Nein";
"Carli";"Janine";"";"Janine Carli";"Carli, Janine";"177";"weiblich";"19.09.1991";"13";"Deutschland";"DE";"Libero";"Nein";
"Hippe";"Saskia";"";"Saskia Hippe";"Hippe, Saskia";"186";"weiblich";"16.01.1991";"5";"Deutschland";"DE";"Außenangriff";"Nein";
"Hroncekova";"Veronika";"";"Veronika Hroncekova";"Hroncekova, Veronika";"190";"weiblich";"02.01.1990";"17";"Slowakei";"SK";"Mittelblock";"Nein";
"Imoudu";"Denise";"";"Denise Imoudu";"Imoudu, Denise";"181";"weiblich";"14.12.1995";"7";"Deutschland";"DE";"Zuspiel";"Nein";
"Isailovic";"Ivana";"";"Ivana Isailovic";"Isailovic, Ivana";"185";"weiblich";"01.01.1986";"9";"Serbien";"RS";"Mittelblock";"Nein";
"Joachim";"Tanja";"";"Tanja Joachim";"Joachim, Tanja";"182";"weiblich";"29.10.1992";"2";"Deutschland";"DE";"Zuspiel";"Nein";
"Moma Bassoko";"Laetitia Crescence";"";"Laetitia Crescence Moma Bassoko";"Moma Bassoko, Laetitia Crescence";"180";"weiblich";"09.10.1993";"14";"Kamerun";"CM";"Außenangriff";"Nein";
"Mudritskaya";"Tatyana";"";"Tatyana Mudritskaya";"Mudritskaya, Tatyana";"197";"weiblich";"17.01.1985";"18";"Kasachstan";"KZ";"Außenangriff";"Nein";
"Pihlajamäki";"Laura";"";"Laura Pihlajamäki";"Pihlajamäki, Laura";"194";"weiblich";"15.08.1990";"3";"Finnland";"FI";"Mittelblock";"Nein";
"Poll";"Jana Franziska";"";"Jana Franziska Poll";"Poll, Jana Franziska";"185";"weiblich";"07.05.1988";"8";"Deutschland";"DE";"Außenangriff";"Nein";
"Radenkovic";"Danica";"";"Danica Radenkovic";"Radenkovic, Danica";"184";"weiblich";"09.10.1992";"10";"Serbien";"RS";"Zuspiel";"Nein";
"Stein";"Lisa";"";"Lisa Stein";"Stein, Lisa";"185";"weiblich";"12.01.1994";"";"Deutschland";"DE";"";"Nein";
"Vilponen";"Pauliina";"";"Pauliina Vilponen";"Vilponen, Pauliina";"190";"weiblich";"20.02.1992";"4";"Finnland";"FI";"Außenangriff";"Nein";
"Koslowski";"Felix";"";"Felix Koslowski";"Koslowski, Felix";"191";"männlich";"18.03.1984";"";"Deutschland";"DE";"Trainer";"Nein";
"Carli";"Davide";"";"Davide Carli";"Carli, Davide";"185";"männlich";"19.03.1983";"";"Italien";"IT";"Co-Trainer";"Nein";
"Döring";"Michael";"";"Michael Döring";"Döring, Michael";"0";"männlich";"04.08.1981";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Jokisch";"Peter";"Dr.";"Dr. Peter Jokisch";"Dr. Jokisch, Peter";"0";"männlich";"26.09.1959";"";"Deutschland";"DE";"Arzt";"Ja";
"Braun";"Katja";"";"Katja Braun";"Braun, Katja";"0";"weiblich";"07.12.1984";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Ulbricht";"Nora";"";"Nora Ulbricht";"Ulbricht, Nora";"0";"weiblich";"13.05.1985";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Ziegler";"Jens";"";"Jens Ziegler";"Ziegler, Jens";"0";"männlich";"02.04.1967";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Döring";"Michael";"";"Michael Döring";"Döring, Michael";"0";"männlich";"04.08.1981";"";"Deutschland";"DE";"Statistiker";"Ja";
