"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Buakaew";"Wanna";"";"Wanna Buakaew";"Buakaew, Wanna";"172";"weiblich";"02.01.1981";"1";"Thailand";"TH";"Libero";"Nein";
"Grant";"Nia";"";"Nia Grant";"Grant, Nia";"188";"weiblich";"08.05.1993";"17";"Vereinigte Staaten von Amerika";"US";"Mittelblock";"Nein";
"Kocar";"Karmen";"";"Karmen Kocar";"Kocar, Karmen";"180";"weiblich";"01.12.1982";"11";"Slowenien";"SI";"Zuspiel";"Nein";
"Mlejnkova";"Michaela";"";"Michaela Mlejnkova";"Mlejnkova, Michaela";"185";"weiblich";"26.07.1996";"16";"Tschechische Republik";"CZ";"Außenangriff";"Nein";
"Nichol";"Valerie";"";"Valerie Nichol";"Nichol, Valerie";"181";"weiblich";"29.04.1993";"4";"Vereinigte Staaten von Amerika";"US";"Zuspiel";"Nein";
"Pettke";"Jennifer";"";"Jennifer Pettke";"Pettke, Jennifer";"186";"weiblich";"29.05.1989";"15";"Deutschland";"DE";"Mittelblock";"Nein";
"Renkema";"Kim";"";"Kim Renkema";"Renkema, Kim";"179";"weiblich";"28.06.1987";"5";"Niederlande";"NL";"Außenangriff";"Nein";
"Sandor";"Renata";"";"Renata Sandor";"Sandor, Renata";"182";"weiblich";"15.12.1990";"7";"Ungarn";"HU";"Außenangriff";"Nein";
"Schaefer";"Julia";"";"Julia Schaefer";"Schaefer, Julia";"188";"weiblich";"03.07.1996";"8";"Deutschland";"DE";"Außenangriff";"Nein";
"Tomazela Pissinato";"Micheli";"";"Micheli Tomazela Pissinato";"Tomazela Pissinato, Micheli";"184";"weiblich";"28.03.1984";"3";"Brasilien";"BR";"Mittelblock";"Nein";
"van Daelen";"Deborah";"";"Deborah van Daelen";"van Daelen, Deborah";"188";"weiblich";"24.03.1989";"12";"Niederlande";"NL";"Diagonal";"Nein";
"Wenzel";"Julia";"";"Julia Wenzel";"Wenzel, Julia";"179";"weiblich";"12.01.1998";"2";"Deutschland";"DE";"Außenangriff";"Nein";
"Whitney";"Aiyana";"";"Aiyana Whitney";"Whitney, Aiyana";"196";"weiblich";"06.04.1993";"14";"Vereinigte Staaten von Amerika";"US";"Diagonal";"Nein";
"Naranjo Hernández";"Guillermo";"";"Guillermo Naranjo Hernández";"Naranjo Hernández, Guillermo";"";"männlich";"18.06.1977";"";"Spanien";"ES";"Trainer";"Nein";
"Athanasopoulos";"Ioannis";"";"Ioannis Athanasopoulos";"Athanasopoulos, Ioannis";"190";"männlich";"24.08.1978";"";"Griechenland";"GR";"Co-Trainer";"Nein";
"Paraschidis";"Ioannis";"";"Ioannis Paraschidis";"Paraschidis, Ioannis";"";"männlich";"24.08.1989";"";"Griechenland";"GR";"Co-Trainer (Scout)";"Ja";
"Hoffmann";"Andreas Hans";"Dr.";"Dr. Andreas Hans Hoffmann";"Dr. Hoffmann, Andreas Hans";"0";"männlich";"30.05.1966";"";"Deutschland";"DE";"Arzt";"Ja";
"Dau";"Tina";"Bachelor of Science";"Bachelor of Science Tina Dau";"Bachelor of Science Dau, Tina";"168";"weiblich";"30.08.1985";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Bühler";"Andreas";"";"Andreas Bühler";"Bühler, Andreas";"0";"männlich";"17.06.1973";"";"Deutschland";"DE";"Statistiker";"Ja";
