"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Carroll";"Paul";"";"Paul Carroll";"Carroll, Paul";"206";"männlich";"16.05.1986";"12";"Australien";"AU";"Diagonal";"Nein";
"Fischer";"Felix";"";"Felix Fischer";"Fischer, Felix";"203";"männlich";"27.02.1983";"6";"Deutschland";"DE";"Mittelblock";"Nein";
"Galandi";"Ricardo";"";"Ricardo Galandi";"Galandi, Ricardo";"200";"männlich";"18.05.1989";"9";"Deutschland";"DE";"Mittelblock";"Nein";
"Hecht";"Florian";"";"Florian Hecht";"Hecht, Florian";"200";"männlich";"30.05.1993";"13";"Deutschland";"DE";"Mittelblock";"Nein";
"Kmet";"Tomas";"";"Tomas Kmet";"Kmet, Tomas";"202";"männlich";"01.12.1981";"14";"Slowakei";"SK";"Mittelblock";"Nein";
"Kromm";"Robert";"";"Robert Kromm";"Kromm, Robert";"212";"männlich";"09.03.1984";"3";"Deutschland";"DE";"Außenangriff";"Nein";
"Krystof";"Martin";"";"Martin Krystof";"Krystof, Martin";"179";"männlich";"11.10.1982";"11";"Tschechische Republik";"CZ";"Libero";"Nein";
"Kühner";"Sebastian";"";"Sebastian Kühner";"Kühner, Sebastian";"203";"männlich";"15.03.1987";"10";"Deutschland";"DE";"Zuspiel";"Nein";
"Lisinac";"Srecko";"";"Srecko Lisinac";"Lisinac, Srecko";"205";"männlich";"17.05.1992";"17";"Serbien";"RS";"Mittelblock";"Nein";
"Schott";"Ruben";"";"Ruben Schott";"Schott, Ruben";"192";"männlich";"08.07.1994";"15";"Deutschland";"DE";"Außenangriff";"Nein";
"Shoji";"Kawika";"";"Kawika Shoji";"Shoji, Kawika";"192";"männlich";"11.11.1987";"2";"Vereinigte Staaten von Amerika";"US";"Zuspiel";"Nein";
"Sikiric";"Roko";"";"Roko Sikiric";"Sikiric, Roko";"196";"männlich";"22.08.1981";"7";"Kroatien";"HR";"Außenangriff";"Nein";
"Spirovski";"Aleksandar";"";"Aleksandar Spirovski";"Spirovski, Aleksandar";"203";"männlich";"16.08.1978";"4";"Serbien";"RS";"Diagonal";"Nein";
"Touzinsky";"Scott Joseph";"";"Scott Joseph Touzinsky";"Touzinsky, Scott Joseph";"200";"männlich";"22.04.1982";"1";"Vereinigte Staaten von Amerika";"US";"Außenangriff";"Nein";
"Wetter";"Oskar";"";"Oskar Wetter";"Wetter, Oskar";"191";"männlich";"14.06.1995";"18";"Deutschland";"DE";"Zuspiel";"Nein";
"Lebedew";"Mark";"";"Mark Lebedew";"Lebedew, Mark";"0";"männlich";"06.05.1967";"";"Australien";"AU";"Trainer";"Nein";
"Müller";"Manuel";"";"Manuel Müller";"Müller, Manuel";"0";"männlich";"29.11.1977";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Wunderlich";"Eric";"";"Eric Wunderlich";"Wunderlich, Eric";"0";"männlich";"03.11.1979";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Miltner";"Oliver";"Dr.";"Dr. Oliver Miltner";"Dr. Miltner, Oliver";"0";"männlich";"27.01.1964";"";"Deutschland";"DE";"Arzt";"Ja";
"Schwan";"Christian";"";"Christian Schwan";"Schwan, Christian";"0";"männlich";"23.08.1986";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Nündel";"David";"";"David Nündel";"Nündel, David";"0";"männlich";"08.07.1990";"";"Deutschland";"DE";"Statistiker";"Ja";
