"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Auste";"Maximilian";"";"Maximilian Auste";"Auste, Maximilian";"206";"männlich";"27.01.1997";"12";"Deutschland";"DE";"Außenangriff";"Nein";
"Balster";"Corbin";"";"Corbin Balster";"Balster, Corbin";"200";"männlich";"03.03.1997";"17";"Deutschland";"DE";"Außenangriff";"Nein";
"Ferch";"Iven Fietje";"";"Iven Fietje Ferch";"Ferch, Iven Fietje";"206";"männlich";"18.09.1997";"5";"Deutschland";"DE";"Mittelblock";"Nein";
"Göbert";"Felix";"";"Felix Göbert";"Göbert, Felix";"194";"männlich";"04.10.1996";"18";"Deutschland";"DE";"Mittelblock";"Nein";
"Hafemann";"Robin";"";"Robin Hafemann";"Hafemann, Robin";"198";"männlich";"02.11.1995";"8";"Deutschland";"DE";"Außenangriff";"Nein";
"Horn";"Maximilian";"";"Maximilian Horn";"Horn, Maximilian";"188";"männlich";"07.08.1996";"6";"Deutschland";"DE";"Zuspiel";"Nein";
"Kaminski";"Jonas";"";"Jonas Kaminski";"Kaminski, Jonas";"196";"männlich";"08.05.1996";"9";"Deutschland";"DE";"Diagonal";"Nein";
"Marks";"Christoph";"";"Christoph Marks";"Marks, Christoph";"198";"männlich";"16.04.1997";"15";"Deutschland";"DE";"Außenangriff";"Nein";
"Rodiek";"Samuel";"";"Samuel Rodiek";"Rodiek, Samuel";"180";"männlich";"10.07.1995";"14";"Deutschland";"DE";"Libero";"Nein";
"Rudolf";"Niklas";"";"Niklas Rudolf";"Rudolf, Niklas";"206";"männlich";"06.03.1996";"3";"Deutschland";"DE";"Außenangriff";"Nein";
"Schippmann";"Timon";"";"Timon Schippmann";"Schippmann, Timon";"194";"männlich";"06.09.1995";"16";"Deutschland";"DE";"Außenangriff";"Nein";
"Schlag";"Timo";"";"Timo Schlag";"Schlag, Timo";"197";"männlich";"04.08.1995";"1";"Deutschland";"DE";"Außenangriff";"Nein";
"Seybering";"David";"";"David Seybering";"Seybering, David";"200";"männlich";"19.12.1995";"13";"Deutschland";"DE";"Mittelblock";"Nein";
"Tille";"Leonhard";"";"Leonhard Tille";"Tille, Leonhard";"185";"männlich";"17.03.1995";"7";"Deutschland";"DE";"Libero";"Nein";
"Trogisch";"Niklas";"";"Niklas Trogisch";"Trogisch, Niklas";"195";"männlich";"17.01.1997";"4";"Deutschland";"DE";"Zuspiel";"Nein";
"Verstappen";"Johan";"";"Johan Verstappen";"Verstappen, Johan";"190";"männlich";"15.04.1970";"";"Niederlande";"NL";"Trainer";"Nein";
"Nestke";"Andreas";"";"Andreas Nestke";"Nestke, Andreas";"0";"männlich";"29.05.1953";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Wunderlich";"Eric";"";"Eric Wunderlich";"Wunderlich, Eric";"0";"männlich";"03.11.1979";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Papke";"Stefanie";"";"Stefanie Papke";"Papke, Stefanie";"";"weiblich";"31.03.1987";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Pelz";"Marco";"";"Marco Pelz";"Pelz, Marco";"0";"männlich";"22.09.1983";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Knospe";"Christian";"";"Christian Knospe";"Knospe, Christian";"176";"männlich";"16.05.1990";"";"Deutschland";"DE";"Statistiker";"Ja";
