"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Allik";"Karli";"";"Karli Allik";"Allik, Karli";"193";"männlich";"25.09.1996";"6";"Estland";"EE";"Außenangriff";"Nein";
"Andrei";"Michael";"";"Michael Andrei";"Andrei, Michael";"208";"männlich";"06.08.1985";"11";"Deutschland";"DE";"Mittelblock";"Nein";
"Bann";"Blair";"";"Blair Bann";"Bann, Blair";"195";"männlich";"26.02.1988";"1";"Kanada";"CA";"Libero";"Nein";
"Braas";"Gilles";"";"Gilles Braas";"Braas, Gilles";"190";"männlich";"17.03.1992";"12";"Luxemburg";"LU";"Zuspiel";"Nein";
"Broshog";"Tim";"";"Tim Broshog";"Broshog, Tim";"205";"männlich";"02.12.1987";"3";"Deutschland";"DE";"Mittelblock";"Nein";
"Buivids";"Edvarts";"";"Edvarts Buivids";"Buivids, Edvarts";"201";"männlich";"04.12.1993";"4";"Lettland";"LV";"Diagonal";"Nein";
"D'Hulst";"Stijn";"";"Stijn D'Hulst";"D'Hulst, Stijn";"187";"männlich";"24.04.1991";"5";"Belgien";"BE";"Zuspiel";"Nein";
"Firkal";"Július";"";"Július Firkal";"Firkal, Július";"195";"männlich";"14.01.1998";"2";"Slowakei";"SK";"Außenangriff";"Nein";
"Prolingheuer";"Marvin";"";"Marvin Prolingheuer";"Prolingheuer, Marvin";"210";"männlich";"29.06.1990";"8";"Deutschland";"DE";"Diagonal";"Nein";
"Sauss";"Romans";"";"Romans Sauss";"Sauss, Romans";"193";"männlich";"27.06.1989";"7";"Lettland";"LV";"Außenangriff";"Nein";
"Schneider";"Rudy";"";"Rudy Schneider";"Schneider, Rudy";"192";"männlich";"07.10.2000";"10";"Deutschland";"DE";"Universal";"Nein";
"Westphal";"Dirk";"";"Dirk Westphal";"Westphal, Dirk";"203";"männlich";"31.01.1986";"9";"Deutschland";"DE";"Außenangriff";"Nein";
"Zachrich";"Jaromir";"";"Jaromir Zachrich";"Zachrich, Jaromir";"201";"männlich";"14.04.1985";"14";"Deutschland";"DE";"Mittelblock";"Nein";
"Falter";"Stefan";"";"Stefan Falter";"Falter, Stefan";"0";"männlich";"17.04.1965";"";"Deutschland";"DE";"Trainer";"Ja";
"Wolff";"Justin";"";"Justin Wolff";"Wolff, Justin";"174";"männlich";"10.12.1992";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Niklaus";"Kai";"";"Kai Niklaus";"Niklaus, Kai";"";"männlich";"26.08.1990";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Schmitz";"Helmut";"";"Helmut Schmitz";"Schmitz, Helmut";"0";"männlich";"18.11.1958";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Westphal";"Dirk";"";"Dirk Westphal";"Westphal, Dirk";"203";"männlich";"31.01.1986";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Berger";"Manfred Matthias";"Dr.";"Dr. Manfred Matthias Berger";"Dr. Berger, Manfred Matthias";"0";"männlich";"08.02.1944";"";"Deutschland";"DE";"Arzt";"Ja";
"Hillekamp";"Jörn";"Dr.";"Dr. Jörn Hillekamp";"Dr. Hillekamp, Jörn";"0";"männlich";"17.07.1964";"";"Deutschland";"DE";"Arzt";"Ja";
"Lukowsky";"Stefan,";"Dr. med.";"Dr. med. Stefan, Lukowsky";"Dr. med. Lukowsky, Stefan,";"190";"männlich";"24.08.1967";"";"Deutschland";"DE";"Arzt";"Ja";
"Runge";"Jonas";"";"Jonas Runge";"Runge, Jonas";"";"männlich";"16.01.1989";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Zehbe";"Anja";"";"Anja Zehbe";"Zehbe, Anja";"0";"weiblich";"13.05.1967";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Niklaus";"Kai";"";"Kai Niklaus";"Niklaus, Kai";"";"männlich";"26.08.1990";"";"Deutschland";"DE";"Statistiker";"Ja";
