"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Bathen";"Ines";"";"Ines Bathen";"Bathen, Ines";"172";"weiblich";"27.08.1990";"17";"Deutschland";"DE";"Außenangriff";"Nein";
"Benson";"Ashley";"";"Ashley Benson";"Benson, Ashley";"190";"weiblich";"20.02.1989";"10";"Vereinigte Staaten von Amerika";"US";"Mittelblock";"Nein";
"Dörendahl";"Linda";"";"Linda Dörendahl";"Dörendahl, Linda";"176";"weiblich";"20.07.1984";"14";"Deutschland";"DE";"Libero";"Nein";
"Fuchs";"Sina";"";"Sina Fuchs";"Fuchs, Sina";"180";"weiblich";"28.09.1992";"6";"Deutschland";"DE";"Außenangriff";"Nein";
"Kemmsies";"Irina";"";"Irina Kemmsies";"Kemmsies, Irina";"181";"weiblich";"14.05.1996";"2";"Deutschland";"DE";"Zuspiel";"Nein";
"Lippmann";"Louisa";"";"Louisa Lippmann";"Lippmann, Louisa";"191";"weiblich";"23.09.1994";"5";"Deutschland";"DE";"Universal";"Nein";
"Ossowski";"Alisha";"";"Alisha Ossowski";"Ossowski, Alisha";"174";"weiblich";"26.03.1995";"9";"Deutschland";"DE";"Außenangriff";"Nein";
"Petrausch";"Sarah";"";"Sarah Petrausch";"Petrausch, Sarah";"186";"weiblich";"31.07.1990";"7";"Deutschland";"DE";"Außenangriff";"Nein";
"Schaefer";"Julia";"";"Julia Schaefer";"Schaefer, Julia";"188";"weiblich";"03.07.1996";"16";"Deutschland";"DE";"Universal";"Nein";
"Schaus";"Nadja";"";"Nadja Schaus";"Schaus, Nadja";"188";"weiblich";"08.11.1984";"3";"Deutschland";"DE";"Universal";"Nein";
"Schwertmann";"Leonie";"";"Leonie Schwertmann";"Schwertmann, Leonie";"190";"weiblich";"12.01.1994";"18";"Deutschland";"DE";"Mittelblock";"Nein";
"Silge";"Wiebke";"";"Wiebke Silge";"Silge, Wiebke";"190";"weiblich";"16.07.1996";"12";"Deutschland";"DE";"Universal";"Nein";
"von Piekartz";"Tess";"";"Tess von Piekartz";"von Piekartz, Tess";"170";"weiblich";"24.07.1992";"4";"Niederlande";"NL";"Zuspiel";"Nein";
"Büring";"Axel";"";"Axel Büring";"Büring, Axel";"0";"männlich";"12.07.1967";"";"Deutschland";"DE";"Trainer";"Nein";
"Kittel";"Til Christopher";"";"Til Christopher Kittel";"Kittel, Til Christopher";"";"männlich";"04.11.1978";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Mallach";"Marvin";"";"Marvin Mallach";"Mallach, Marvin";"0";"männlich";"27.09.1986";"";"Deutschland";"DE";"Co-Trainer";"Nein";
"Kiousis";"Manuela";"";"Manuela Kiousis";"Kiousis, Manuela";"176";"weiblich";"08.09.1964";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Kittel";"Til Christopher";"";"Til Christopher Kittel";"Kittel, Til Christopher";"";"männlich";"04.11.1978";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Klose";"Andreas";"";"Andreas Klose";"Klose, Andreas";"193";"männlich";"06.04.1966";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Mallach";"Marvin";"";"Marvin Mallach";"Mallach, Marvin";"0";"männlich";"27.09.1986";"";"Deutschland";"DE";"Co-Trainer (Scout)";"Ja";
"Schneider";"Clara Lena";"";"Clara Lena Schneider";"Schneider, Clara Lena";"";"weiblich";"08.10.1987";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Terstegge";"Dorothee";"";"Dorothee Terstegge";"Terstegge, Dorothee";"0";"weiblich";"23.10.1963";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Kiousis";"Manuela";"";"Manuela Kiousis";"Kiousis, Manuela";"176";"weiblich";"08.09.1964";"";"Deutschland";"DE";"Statistiker";"Ja";
